[UE3] [2025-07-19 11:37:06] [  5]  45.00-46.00  sec  3.58 MBytes  30.0 Mbits/sec  0.166 ms  0/2589 (0%)
[UE3] [2025-07-19 11:37:07] [  5]  46.00-47.00  sec  3.58 MBytes  30.0 Mbits/sec  0.263 ms  0/2589 (0%)
[UE3] [2025-07-19 11:37:08] [  5]  47.00-48.00  sec  3.58 MBytes  30.0 Mbits/sec  0.246 ms  0/2591 (0%)
[UE3] [2025-07-19 11:37:09] [  5]  48.00-49.00  sec  3.58 MBytes  30.0 Mbits/sec  0.173 ms  0/2589 (0%)
[UE3] [2025-07-19 11:37:10] [  5]  49.00-50.00  sec  3.57 MBytes  30.0 Mbits/sec  0.297 ms  0/2588 (0%)
[UE3] [2025-07-19 11:37:11] [  5]  50.00-51.00  sec  3.58 MBytes  30.0 Mbits/sec  0.252 ms  0/2592 (0%)
[UE3] [2025-07-19 11:37:12] [  5]  51.00-52.00  sec  3.57 MBytes  29.9 Mbits/sec  0.348 ms  0/2584 (0%)
[UE3] [2025-07-19 11:37:13] [  5]  52.00-53.00  sec  3.58 MBytes  30.1 Mbits/sec  0.158 ms  0/2595 (0%)
[UE3] [2025-07-19 11:37:14] [  5]  53.00-54.00  sec  3.58 MBytes  30.0 Mbits/sec  0.195 ms  0/2590 (0%)
[UE3] [2025-07-19 11:37:15] [  5]  54.00-55.00  sec  3.58 MBytes  30.0 Mbits/sec  0.191 ms  0/2590 (0%)
[UE3] [2025-07-19 11:37:16] [  5]  55.00-56.00  sec  3.58 MBytes  30.0 Mbits/sec  0.266 ms  0/2590 (0%)
[UE3] [2025-07-19 11:37:17] [  5]  56.00-57.00  sec  3.58 MBytes  30.0 Mbits/sec  0.173 ms  0/2590 (0%)
[UE3] [2025-07-19 11:37:18] [  5]  57.00-58.00  sec  3.58 MBytes  30.0 Mbits/sec  0.158 ms  0/2589 (0%)
[UE3] [2025-07-19 11:37:19] [  5]  58.00-59.00  sec  3.58 MBytes  30.0 Mbits/sec  0.180 ms  0/2589 (0%)
[UE3] [2025-07-19 11:37:20] [  5]  59.00-60.00  sec  3.58 MBytes  30.0 Mbits/sec  0.180 ms  0/2591 (0%)
[UE3] [2025-07-19 11:37:21] [  5]  60.00-61.00  sec  3.58 MBytes  30.0 Mbits/sec  0.271 ms  0/2589 (0%)
[UE3] [2025-07-19 11:37:22] [  5]  61.00-62.00  sec  3.58 MBytes  30.0 Mbits/sec  0.300 ms  0/2590 (0%)
[UE3] [2025-07-19 11:37:23] [  5]  62.00-63.00  sec  3.57 MBytes  30.0 Mbits/sec  0.172 ms  0/2588 (0%)
[UE3] [2025-07-19 11:37:24] [  5]  63.00-64.00  sec  3.58 MBytes  30.0 Mbits/sec  0.138 ms  0/2592 (0%)
[UE3] [2025-07-19 11:37:25] [  5]  64.00-65.00  sec  3.58 MBytes  30.0 Mbits/sec  0.231 ms  0/2590 (0%)
[UE3] [2025-07-19 11:37:26] [  5]  65.00-66.00  sec  3.58 MBytes  30.0 Mbits/sec  0.197 ms  0/2589 (0%)
[UE3] [2025-07-19 11:37:27] [  5]  66.00-67.00  sec  3.58 MBytes  30.0 Mbits/sec  0.100 ms  0/2590 (0%)
[UE3] [2025-07-19 11:37:28] [  5]  67.00-68.00  sec  3.58 MBytes  30.0 Mbits/sec  0.136 ms  0/2590 (0%)
[UE3] [2025-07-19 11:37:29] [  5]  68.00-69.00  sec  3.58 MBytes  30.0 Mbits/sec  0.207 ms  0/2591 (0%)
[UE3] [2025-07-19 11:37:30] [  5]  69.00-70.00  sec  3.57 MBytes  30.0 Mbits/sec  0.246 ms  0/2588 (0%)
[UE3] [2025-07-19 11:37:31] [  5]  70.00-71.00  sec  3.58 MBytes  30.0 Mbits/sec  0.166 ms  0/2591 (0%)
[UE3] [2025-07-19 11:37:32] [  5]  71.00-72.00  sec  3.57 MBytes  30.0 Mbits/sec  0.130 ms  0/2588 (0%)
[UE3] [2025-07-19 11:37:33] [  5]  72.00-73.00  sec  3.58 MBytes  30.0 Mbits/sec  0.190 ms  0/2591 (0%)
[UE3] [2025-07-19 11:37:34] [  5]  73.00-74.00  sec  3.58 MBytes  30.0 Mbits/sec  0.204 ms  0/2591 (0%)
[UE3] [2025-07-19 11:37:35] [  5]  74.00-75.00  sec  3.58 MBytes  30.0 Mbits/sec  0.306 ms  0/2589 (0%)
[UE3] [2025-07-19 11:37:36] [  5]  75.00-76.00  sec  3.57 MBytes  30.0 Mbits/sec  0.160 ms  0/2588 (0%)
[UE3] [2025-07-19 11:37:37] [  5]  76.00-77.00  sec  3.58 MBytes  30.0 Mbits/sec  0.278 ms  0/2591 (0%)
[UE3] [2025-07-19 11:37:38] [  5]  77.00-78.00  sec  3.58 MBytes  30.0 Mbits/sec  0.204 ms  0/2590 (0%)
[UE3] [2025-07-19 11:37:39] [  5]  78.00-79.00  sec  3.58 MBytes  30.0 Mbits/sec  0.175 ms  0/2589 (0%)
[UE3] [2025-07-19 11:37:40] [  5]  79.00-80.00  sec  3.58 MBytes  30.0 Mbits/sec  0.220 ms  0/2590 (0%)
[UE3] [2025-07-19 11:37:41] [  5]  80.00-81.00  sec  3.58 MBytes  30.0 Mbits/sec  0.209 ms  0/2590 (0%)
[UE3] [2025-07-19 11:37:42] [  5]  81.00-82.00  sec  3.58 MBytes  30.0 Mbits/sec  0.158 ms  0/2590 (0%)
[UE3] [2025-07-19 11:37:43] [  5]  82.00-83.00  sec  3.58 MBytes  30.0 Mbits/sec  0.112 ms  0/2590 (0%)
[UE3] [2025-07-19 11:37:44] [  5]  83.00-84.00  sec  3.58 MBytes  30.0 Mbits/sec  0.257 ms  0/2589 (0%)
[UE3] [2025-07-19 11:37:45] [  5]  84.00-85.00  sec  3.58 MBytes  30.0 Mbits/sec  0.230 ms  0/2590 (0%)
[UE3] [2025-07-19 11:37:46] [  5]  85.00-86.00  sec  3.58 MBytes  30.0 Mbits/sec  0.153 ms  0/2590 (0%)
[UE3] [2025-07-19 11:37:47] [  5]  86.00-87.00  sec  3.58 MBytes  30.0 Mbits/sec  0.132 ms  0/2590 (0%)
[UE3] [2025-07-19 11:37:48] [  5]  87.00-88.00  sec  3.57 MBytes  30.0 Mbits/sec  0.298 ms  0/2587 (0%)
[UE3] [2025-07-19 11:37:49] [  5]  88.00-89.00  sec  3.58 MBytes  30.0 Mbits/sec  0.161 ms  0/2593 (0%)
[UE3] [2025-07-19 11:37:50] [  5]  89.00-90.00  sec  3.58 MBytes  30.0 Mbits/sec  0.269 ms  0/2589 (0%)
